[START] Pre-training step:
>> Epoch 374 finished 	RBM Reconstruction error 0.391065
>> Epoch 375 finished 	RBM Reconstruction error 0.399951
>> Epoch 376 finished 	RBM Reconstruction error 0.413342
>> Epoch 377 finished 	RBM Reconstruction error 0.384173
>> Epoch 378 finished 	RBM Reconstruction error 0.383095
>> Epoch 379 finished 	RBM Reconstruction error 0.394469
>> Epoch 380 finished 	RBM Reconstruction error 0.392599
>> Epoch 381 finished 	RBM Reconstruction error 0.399834
>> Epoch 382 finished 	RBM Reconstruction error 0.386902
>> Epoch 383 finished 	RBM Reconstruction error 0.388526
>> Epoch 384 finished 	RBM Reconstruction error 0.399760
>> Epoch 385 finished 	RBM Reconstruction error 0.388764
>> Epoch 386 finished 	RBM Reconstruction error 0.394118
>> Epoch 387 finished 	RBM Reconstruction error 0.388843
>> Epoch 388 finished 	RBM Reconstruction error 0.386127
>> Epoch 389 finished 	RBM Reconstruction error 0.404870
>> Epoch 390 finished 	RBM Reconstruction error 0.402430
>> Epoch 391 finished 	RBM Reconstruction error 0.403381
>> Epoch 392 finished 	RBM Reconstruction error 0.394339
>> Epoch 393 finished 	RBM Reconstruction error 0.385316
>> Epoch 394 finished 	RBM Reconstruction error 0.391678
>> Epoch 395 finished 	RBM Reconstruction error 0.381873
>> Epoch 396 finished 	RBM Reconstruction error 0.385406
>> Epoch 397 finished 	RBM Reconstruction error 0.389892
>> Epoch 398 finished 	RBM Reconstruction error 0.401413
>> Epoch 399 finished 	RBM Reconstruction error 0.388431
>> Epoch 400 finished 	RBM Reconstruction error 0.381945
>> Epoch 401 finished 	RBM Reconstruction error 0.421757
>> Epoch 402 finished 	RBM Reconstruction error 0.392545
>> Epoch 403 finished 	RBM Reconstruction error 0.385291
>> Epoch 404 finished 	RBM Reconstruction error 0.387268
>> Epoch 405 finished 	RBM Reconstruction error 0.395912
>> Epoch 406 finished 	RBM Reconstruction error 0.377544
>> Epoch 407 finished 	RBM Reconstruction error 0.389035
>> Epoch 408 finished 	RBM Reconstruction error 0.386805
>> Epoch 409 finished 	RBM Reconstruction error 0.381361
>> Epoch 410 finished 	RBM Reconstruction error 0.389243
>> Epoch 411 finished 	RBM Reconstruction error 0.392800
>> Epoch 412 finished 	RBM Reconstruction error 0.397366
>> Epoch 413 finished 	RBM Reconstruction error 0.388678
>> Epoch 414 finished 	RBM Reconstruction error 0.402119
>> Epoch 415 finished 	RBM Reconstruction error 0.382387
>> Epoch 416 finished 	RBM Reconstruction error 0.395281
>> Epoch 417 finished 	RBM Reconstruction error 0.388823
>> Epoch 418 finished 	RBM Reconstruction error 0.407042
>> Epoch 419 finished 	RBM Reconstruction error 0.385075
>> Epoch 420 finished 	RBM Reconstruction error 0.377773
>> Epoch 421 finished 	RBM Reconstruction error 0.388761
>> Epoch 422 finished 	RBM Reconstruction error 0.379319
>> Epoch 423 finished 	RBM Reconstruction error 0.382437
>> Epoch 424 finished 	RBM Reconstruction error 0.391543
>> Epoch 425 finished 	RBM Reconstruction error 0.387504
>> Epoch 426 finished 	RBM Reconstruction error 0.389796
>> Epoch 427 finished 	RBM Reconstruction error 0.391324
>> Epoch 428 finished 	RBM Reconstruction error 0.391286
>> Epoch 429 finished 	RBM Reconstruction error 0.381686
>> Epoch 430 finished 	RBM Reconstruction error 0.386226
>> Epoch 431 finished 	RBM Reconstruction error 0.378957
>> Epoch 432 finished 	RBM Reconstruction error 0.390771
>> Epoch 433 finished 	RBM Reconstruction error 0.404465
>> Epoch 434 finished 	RBM Reconstruction error 0.380748
>> Epoch 435 finished 	RBM Reconstruction error 0.378957
>> Epoch 436 finished 	RBM Reconstruction error 0.389729
>> Epoch 437 finished 	RBM Reconstruction error 0.407945
>> Epoch 438 finished 	RBM Reconstruction error 0.387681
>> Epoch 439 finished 	RBM Reconstruction error 0.383530
>> Epoch 440 finished 	RBM Reconstruction error 0.376972
>> Epoch 441 finished 	RBM Reconstruction error 0.388878
>> Epoch 442 finished 	RBM Reconstruction error 0.385592
>> Epoch 443 finished 	RBM Reconstruction error 0.383998
>> Epoch 444 finished 	RBM Reconstruction error 0.380670
>> Epoch 445 finished 	RBM Reconstruction error 0.375718
>> Epoch 446 finished 	RBM Reconstruction error 0.377992
>> Epoch 447 finished 	RBM Reconstruction error 0.382079
>> Epoch 448 finished 	RBM Reconstruction error 0.390748
>> Epoch 449 finished 	RBM Reconstruction error 0.386726
>> Epoch 450 finished 	RBM Reconstruction error 0.384841
>> Epoch 451 finished 	RBM Reconstruction error 0.396991
>> Epoch 452 finished 	RBM Reconstruction error 0.397921
>> Epoch 453 finished 	RBM Reconstruction error 0.389973
>> Epoch 454 finished 	RBM Reconstruction error 0.401496
>> Epoch 455 finished 	RBM Reconstruction error 0.400544
>> Epoch 456 finished 	RBM Reconstruction error 0.392184
>> Epoch 457 finished 	RBM Reconstruction error 0.384937
>> Epoch 458 finished 	RBM Reconstruction error 0.383788
>> Epoch 459 finished 	RBM Reconstruction error 0.387465
>> Epoch 460 finished 	RBM Reconstruction error 0.380616
>> Epoch 461 finished 	RBM Reconstruction error 0.398092
>> Epoch 462 finished 	RBM Reconstruction error 0.393550
>> Epoch 463 finished 	RBM Reconstruction error 0.388268
>> Epoch 464 finished 	RBM Reconstruction error 0.399401
>> Epoch 465 finished 	RBM Reconstruction error 0.394164
>> Epoch 466 finished 	RBM Reconstruction error 0.398986
>> Epoch 467 finished 	RBM Reconstruction error 0.404463
>> Epoch 468 finished 	RBM Reconstruction error 0.393094
>> Epoch 469 finished 	RBM Reconstruction error 0.411834
>> Epoch 470 finished 	RBM Reconstruction error 0.405775
>> Epoch 471 finished 	RBM Reconstruction error 0.409016
>> Epoch 472 finished 	RBM Reconstruction error 0.401175
>> Epoch 473 finished 	RBM Reconstruction error 0.399721
>> Epoch 474 finished 	RBM Reconstruction error 0.393265
>> Epoch 475 finished 	RBM Reconstruction error 0.406209
>> Epoch 476 finished 	RBM Reconstruction error 0.387107
>> Epoch 477 finished 	RBM Reconstruction error 0.394900
>> Epoch 478 finished 	RBM Reconstruction error 0.396540
>> Epoch 479 finished 	RBM Reconstruction error 0.389543
>> Epoch 480 finished 	RBM Reconstruction error 0.393340
